content,author
I’m gonna follow the playlist I sent last night btw,ritvikisalive
What ya mean yup,ritvikisalive
yup,memebrane_
🙂,ritvikisalive
I’m gonna end up making a random bot from a yt tutorial again,ritvikisalive
no worrie,memebrane_
alright,memebrane_
After 1:10 maybe,ritvikisalive
oh ok,memebrane_
I’m in the conferences till 1:10,ritvikisalive
yea i saw,memebrane_
you wanna hop on vc so i can explain the code?,memebrane_
Like with owo how u can @ a person to do smth to them,ritvikisalive
<#969933312594436156> explains it a tad bit,ritvikisalive
And the name thingo,ritvikisalive
yup,memebrane_
Now we just have to work on the auto save,ritvikisalive
little girl in the middle of the tornado can you stop screaming - Karthik,Boop Quoter
!boop,memebrane_
Tis the farm to be joly - Ameera,Boop Quoter
!boop,ritvikisalive
3.68 seconds left,Boop Quoter
!boop,memebrane_
4.66 seconds left,Boop Quoter
!boop,memebrane_
Thats why i only use OnlyFans - Nitanth,Boop Quoter
!boop,memebrane_
yes bby,memebrane_
Ayy u got the cool-down,ritvikisalive
I DID IT,memebrane_
0.36 seconds left,Boop Quoter
!boop,memebrane_
3.02 seconds left,Boop Quoter
!boop,memebrane_
Some thing and thing - Cassie,Boop Quoter
!boop,memebrane_
he has a PHD and he still couldn't pronounce two syllables right - Karthik,Boop Quoter
!boop,ritvikisalive
turns on camera just to show pens,Boop Quoter
!boop,ritvikisalive
“Deal with it it’s winter now” - Ritvik,Boop Quoter
!boop,ritvikisalive
When did she say that,ritvikisalive
Yay u got it,ritvikisalive
there you go,memebrane_
“ I WANN SUGAR DADDEHH “ - Ameera,Boop Quoter
!boop,memebrane_
I wonder where? then i started talking in third person - Karthik,Boop Quoter
!boop,memebrane_
Is that why it stopped,ritvikisalive
Did u re write the whole bot?,ritvikisalive
ill get that,memebrane_
yea ik,memebrane_
hi,Boop Quoter
!boop,ritvikisalive
But the quotes gone,ritvikisalive
bby,memebrane_
I GOT IT WORKING,memebrane_
hi,Boop Quoter
!boop,memebrane_
!boop,memebrane_
!boop,memebrane_
Oh well I have the last backup,ritvikisalive
I didn’t even get to back it up,ritvikisalive
Welp,ritvikisalive
$boop,memebrane_
yea,memebrane_
Did u break the bot again,ritvikisalive
!boop,memebrane_
!boop,memebrane_
!boop,memebrane_
“Just answer the poll you albamic whore” - Mathew,Boop Quoter
!boop,memebrane_
!boop bye,memebrane_
!boop hi,memebrane_
My hair is so heavy - Ameera,Boop Quoter
!boop,memebrane_
hi !boop,memebrane_
"GG <@390100716909363201>, you just advanced to level 4!",MEE6
hi !boop,memebrane_
grab ur popcorns everyone!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! - Nitanth,Boop Quoter
!boop,memebrane_
!test hi,memebrane_
! test hi,memebrane_
!test,memebrane_
!test,memebrane_
!boop,memebrane_
!boop,memebrane_
!boop,memebrane_
!boop,memebrane_
!boop,memebrane_
!boop,memebrane_
"I SWEAR TO LIFE WE ARE HIGH"" PLEASDE DONT QUOTE ME"" - Ritvik",Boop Quoter
"I cant control it, it just slips out - Cassie",Boop Quoter
!boop,memebrane_
Don't do drugs do stonks - Ritvik,Boop Quoter
!boop,memebrane_
!boop,memebrane_
How do I spell your name- sorry I- -Ameera,Boop Quoter
!boop,memebrane_
boop,memebrane_
“I will personally pay you 10 bucks if you push nitanth off a cliff” -Matthew,Boop Quoter
!boop hi,memebrane_
alright,memebrane_
*replit,ritvikisalive
Idk I’ve never taken the code out of deploy,ritvikisalive
And not some sketchy 10 min video,ritvikisalive
does this code work in the VS,memebrane_
But maybe following the playlist I sent,ritvikisalive
yup,memebrane_
And get the cool-down to work,ritvikisalive
We can re write it some other day,ritvikisalive
yea,memebrane_
Welp it was a start,ritvikisalive
Uhh also if u check <#969933312594436156>  karthik and I think we should add that in,ritvikisalive
you guys kinda just smashed code in,memebrane_
we need to make the bot properly,memebrane_
Guess that’s smth to look into,ritvikisalive
Cool,ritvikisalive
nope,memebrane_
Did u ever get the cool-down to work tho,ritvikisalive
My funeral? - Ameera,Boop Quoter
!boop hello ritvik,memebrane_
for example,memebrane_
Ooohhh,ritvikisalive
so you can write !boop at the start and then a something else and it will still send a quote,memebrane_
What?,ritvikisalive
by mistake,memebrane_
in case someone does,memebrane_
Then why I keep putting the hi,ritvikisalive
you can write a whole msg with !boop in it,memebrane_
What error,ritvikisalive
but we got an error,memebrane_
nope,memebrane_
I'm sorry little one but u have to be put down - Ahmed talking to zaid again,Boop Quoter
Is the hi ment to do smth?,ritvikisalive
!boop hi,memebrane_
"GG <@390100716909363201>, you just advanced to level 3!",MEE6
!boop hi,memebrane_
I almost lost my pen again - Cassie,Boop Quoter
!boop,ritvikisalive
MYCA - Ahmed,Boop Quoter
!boop,ritvikisalive
That’s why it’s A3 size and small - Nitanth,Boop Quoter
!boop,ritvikisalive
“you can hear me screeching at my iPad to not use flash” - Zoe,Boop Quoter
!boop,ritvikisalive
Whos running away from a nose - Ameera,Boop Quoter
!boop,ritvikisalive
Wait i can count - Karthik,Boop Quoter
Stop being so privileged - Karthik,Boop Quoter
tries to sheer door,Boop Quoter
!boop,ritvikisalive
!boop,ritvikisalive
!boop,ritvikisalive
in synced gasp - Disini and Cassie,Boop Quoter
!boop,ritvikisalive
"Autobots, assemble! - also my methods teacher",Boop Quoter
!boop,ritvikisalive
"Ah ah ah ah ah "" Cortana shut up"" - Karthik",Boop Quoter
!boop,ritvikisalive
Karthik - Dr Strange,Boop Quoter
!boop,ritvikisalive
Ameera - NatashaRominoff (Black Widdow),Boop Quoter
"!boop
!boop
!boop
!boop",ritvikisalive
!boop,ritvikisalive
!boop,ritvikisalive
!boop,ritvikisalive
!boop,ritvikisalive
!boop,ritvikisalive
!boop,ritvikisalive
!boop,ritvikisalive
!boop,ritvikisalive
!boop,ritvikisalive
!boop,ritvikisalive
Yes that's ur sign to slip away into ur free trial of death that u keep renewing with fake emails - Ritvik,Boop Quoter
!boop,ritvikisalive
"I identify as he,his,him - Ahmed",Boop Quoter
!boop,ritvikisalive
“It’s like the abc of plane driving” - Karthik,Boop Quoter
!boop,ritvikisalive
“achievement unlocked : Seasons” - Ritvik,Boop Quoter
!boop,ritvikisalive
can you die from being dead???????????? - Ahmed,Boop Quoter
!boop,ritvikisalive
Why am I tHuMbs uPpInG my computer? - Ritvik,Boop Quoter
!boop,ritvikisalive
“The words on that question make no sense~ just dont think- wAiT what did i just sAy..?” - my hot mAth tutor ✨😩,Boop Quoter
!boop,ritvikisalive
"stops laughing ""OK"" starts laughing again - Karthik",Boop Quoter
!boop,ritvikisalive
I FoUnD a PeN - Cassie,Boop Quoter
!boop,ritvikisalive
"We wish you a merry Karthik,
We wish you a merry Karthik,
We wish you a merry Karthik
And a happy new year - Ritvik",Boop Quoter
!boop,ritvikisalive
“I will personally pay you 10 bucks if you push nitanth off a cliff” -Matthew,Boop Quoter
!boop,ritvikisalive
Our group is disfunctional as hell - Noel,Boop Quoter
!boop,ritvikisalive
I just walked into a pilgrimage - Ameera,Boop Quoter
!boop,ritvikisalive
client = discord.Client(),ritvikisalive
client = discord.Client(),ritvikisalive
“I see among us in the tree~ dun dun dUn” - Cassie,Boop Quoter
“I forgot how many wives I have” - Ameera,Boop Quoter
!boop,ritvikisalive
!boop,ritvikisalive
Zoe - Shuri,Boop Quoter
!boop,ritvikisalive
“Or we would have the funeral at the picnic” - Ameera,Boop Quoter
!boop,ritvikisalive
!boop,ritvikisalive
“I agree with the duck obsessed woman” - Ritvik,Boop Quoter
!boop,ritvikisalive
"🎵 Baa baa shyams retarded
Have you any brain cells
Yes Shyam yes Shyam three balls full
One for the sheshy baka
One for the sheeesh🎵  - Taejus",Boop Quoter
!boop,ritvikisalive
I have flattened so many chickens - Ameera,Boop Quoter
!boop,ritvikisalive
“Imma steal Ahmed's thunder- FAX” - Karthik,Boop Quoter
"!boop
!boop
!boop
!boop",ritvikisalive
Disha -  Black Widow,Boop Quoter
!boop,ritvikisalive
“MiSsIoN cOmPlEtEd InSeRt MiSSiOn DiNg hErE” - Ritvik,Boop Quoter
!boop,ritvikisalive
"GG <@709747337374990359>, you just advanced to level 6!",MEE6
“We’ll be a threesome” - Aarohi,Boop Quoter
!boop,ritvikisalive
You can't spell to save your life - Ritvik to Karthik in year 9 english class,Boop Quoter
!boop,ritvikisalive
Don't dislocate ur hands waving - Ritvik DISLOCATEING HANDS INTENSIFI - Cassie,Boop Quoter
!boop,ritvikisalive
!boop,ritvikisalive
I identify as a sponge - Noel,Boop Quoter
!boop,ritvikisalive
“Four????” - Cassie,Boop Quoter
!boop,ritvikisalive
Intellectual robbery - Taejus,Boop Quoter
!boop,ritvikisalive
dont question it,Boop Quoter
!boop,ritvikisalive
“Janepeg” - Rirvik,Boop Quoter
!boop,ritvikisalive
!boop,ritvikisalive
Don't quote my hilarious laughter - Aarohi,Boop Quoter
!boop,ritvikisalive
“Which one is the camera?” - Ameera,Boop Quoter
!boop,ritvikisalive
.user,ritvikisalive
.user,ritvikisalive
.user,ritvikisalive
ummmm,ritvikisalive
catches a bunch of mosquitos in under a minute “Im so attractive that even mosquitos are attracted to me- like thats how hot i am” - Cassie,Boop Quoter
Sushi is not Japanese - Ritvik,Boop Quoter
!boop,ritvikisalive
!boop,ritvikisalive
"We wish you a merry Karthik,
We wish you a merry Karthik,
We wish you a merry Karthik
And a happy new year - Ritvik",Boop Quoter
!boop,ritvikisalive
“ I WANN SUGAR DADDEHH “ - Ameera,Boop Quoter
!boop,ritvikisalive
Well that's true I don't have cheese - Ritvik,Boop Quoter
!boop,ritvikisalive
“Why tf is Mr McKinnon straight up trying to establish a dictatorship” - Karthik,Boop Quoter
!boop,ritvikisalive
Why am I tHuMbs uPpInG my computer? - Ritvik,Boop Quoter
!boop,ritvikisalive
I can give you my foot for inspection - Ameera,Boop Quoter
!boop,ritvikisalive
how close can i get to falling off my chair? hold on - Karthik proceeds to try,Boop Quoter
!boop,ritvikisalive
I ran out to the car to find my pen - Cassie,Boop Quoter
!boop,ritvikisalive
My grandparents love u too - Karthik,Boop Quoter
!boop,ritvikisalive
then blopenshpagel it is - Ritvik,Boop Quoter
!boop,ritvikisalive
tries to sheer door,Boop Quoter
!boop,ritvikisalive
How can you be so confident and wrong at the same time - Mr.Wei (Yr10 Maths Teacher),Boop Quoter
!boop,memebrane_
Quote everything - Karthik,Boop Quoter
!boop,memebrane_
“WHY DOES MY KEYBOARD KEEP CHANGING TO FRICKN SPANISH” - Ritvik,Boop Quoter
!boop,memebrane_
"I SWEAR TO LIFE WE ARE HIGH"" PLEASDE DONT QUOTE ME"" - Ritvik",Boop Quoter
!boop,memebrane_
#Nitanthneedstogobald - Ritvik,Boop Quoter
!boop,ritvikisalive
yes - Ritvik,Boop Quoter
!boop,ritvikisalive
You dont have a choice in doing life - Ameera,Boop Quoter
!boop,memebrane_
“Ur a dim sum” - Ameera,Boop Quoter
"I can't believe my brother cant do math I mean he just looks at the sheet for example like 7 x 3, that's 21...(right??) - Grace",Boop Quoter
If we love sleeping then doesnt that mean we love death? - Ritvik,Boop Quoter
but why - Ritvik,Boop Quoter
!boop,memebrane_
!boop,memebrane_
!boop,memebrane_
!boop,memebrane_
“Why do British people speak American” - Some stupid lady that Ritvik quoted on Insta,Boop Quoter
im free,ritvikisalive
!boop,memebrane_
if ur free sure,memebrane_
cool u want help or nah,ritvikisalive
cooldown,memebrane_
yea,memebrane_
or the autosave,ritvikisalive
u working on the cooldown?,ritvikisalive
I just had to die once - Karthik,Boop Quoter
!boop,memebrane_
A hungry hippo baby - Ahmed,Boop Quoter
!boo,memebrane_
!boop,memebrane_
I’ve got notes to make,_muffinhead
I’ll see,_muffinhead
Wanna call anyways? I’m free till like 6:20 then I’m busy till 7 ish,ritvikisalive
We fixed that,_muffinhead
Ye,_muffinhead
Wait nvm that was the brackets,ritvikisalive
Nope,_muffinhead
Didn’t u try and do smth yesterday,ritvikisalive
What command,_muffinhead
For no reason,ritvikisalive
So u just used the command,ritvikisalive
I didn’t actually touch any of the code lmao,_muffinhead
BAHAHAHA,_muffinhead
right forgot we changed it,ritvikisalive
I’m my book yes - Mathew,Boop Quoter
!boop,ritvikisalive
wait nvm,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
u were playing around with it last night,ritvikisalive
<@648414391074553876> Why isnt the bot working?,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
It’s in <#966680157744164894>,ritvikisalive
Oh I found it,ritvikisalive
"So my idea is to chuck all of main.py in a while loop so that it it only repeats 3 times or sth, then add a delay outside the while loop",_muffinhead
And it has a function called sleep() which basically delays the execution of the code,_muffinhead
It’s called the time module,_muffinhead
I have a solution for the cool-down,_muffinhead
anyways gn,memebrane_
yup,memebrane_
Lemme look into it,ritvikisalive
Hmm maybe,ritvikisalive
Oh Jesus,ritvikisalive
your parents are all sweaty man - Ahmed,Boop Quoter
!boop,memebrane_
It started off as a hobby - Disha,Boop Quoter
!boop,memebrane_
“✨Be lemon✨” - Ameera,Boop Quoter
!boop,memebrane_
the hell- why are they calling me about wine?!? - Ritvik,Boop Quoter
!boop,memebrane_
Moans - Ahmed,Boop Quoter
!boop,memebrane_
“Yes baby turn me on ;)” - Nitanth,Boop Quoter
!boop,memebrane_
so i cant do this,memebrane_
yea,memebrane_
Ooohhh like the owo cool-down,ritvikisalive
so we need to wait a bit before calling the bot again?,memebrane_
What do u mean?,ritvikisalive
Anyways if u need anything just ask,ritvikisalive
is there a way we can add a spam filter,memebrane_
alright,memebrane_
Ssssssshhh we don’t talk bout that,ritvikisalive
That’s better no spam today,ritvikisalive
"Karthik on fire ""YA GOOD M8?????????????"" - Ritvik",Boop Quoter
!boop,memebrane_
Before nitanth spams asking what’s wrong,ritvikisalive
there ya go,memebrane_
Nodding head vigorously - Cassie,Boop Quoter
!boop,memebrane_
Now put the bot back to how it was before,ritvikisalive
i did research but for like 2 mins,memebrane_
We will try tmr when we actually research shit,ritvikisalive
didnt work,memebrane_
Ur doing smth if the bot ded,ritvikisalive
i tried doing the saving thingo,memebrane_
nothing...,memebrane_
What ya doin,ritvikisalive
%boop,memebrane_
%boop,memebrane_
im not sleeping with sahib ;-; - Ameera,Boop Quoter
%boop,memebrane_
%boop,memebrane_
Ritvik - Hulk,Boop Quoter
%boop,ritvikisalive
I can tell when a girl is smooth as butter - Nitanth,Boop Quoter
%boop,ritvikisalive
Who's sexier Ahmed or Nitanth - Mathew,Boop Quoter
%boop,ritvikisalive
Our group is disfunctional as hell - Noel,Boop Quoter
%boop,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
['Im going to shut up until i get english back - Karthik'],Boop Quoter
%boop,ritvikisalive
%boop,ritvikisalive
%boop,memebrane_
"GG <@648414391074553876>, you just advanced to level 2!",MEE6
['im tight - Mathew'],Boop Quoter
%boop,_muffinhead
['“Look it’s a plant it gives you H20 and oceans give you O2” - ritvik '],Boop Quoter
%boop,ritvikisalive
['Show me ur room - Nitanth'],Boop Quoter
%boop,ritvikisalive
['No off of ur head - Ameera'],Boop Quoter
%boop,ritvikisalive
['How do I spell your name- sorry I- -Ameera'],Boop Quoter
%boop,ritvikisalive
['Wait what year is it? - Ameera'],Boop Quoter
%boop,ritvikisalive
['presses enter uhhh - APPLE PEN - Ritvik'],Boop Quoter
%boop,ritvikisalive
['Cassie stop pressing buttons - Ritvik'],Boop Quoter
%boop,ritvikisalive
['“I should get a Nobel prize for my humaness” -Ahmed Zahid😈'],Boop Quoter
%boop,ritvikisalive
['yOurE beautiful - Ameera'],Boop Quoter
%boop,ritvikisalive
%boop,ritvikisalive
['😭  i 🙉 brok 😩 ma 🤶 bOOooNEE 🏳️\u200d🌈 - Grace '],Boop Quoter
%boop,ritvikisalive
['😭  i 🙉 brok 😩 ma 🤶 bOOooNEE 🏳️\u200d🌈 - Grace '],Boop Quoter
%boop,memebrane_
['😭  i 🙉 brok 😩 ma 🤶 bOOooNEE 🏳️\u200d🌈 - Grace '],Boop Quoter
%boop,ritvikisalive
['wait what tea? - Cassie'],Boop Quoter
%boop,memebrane_
['wait what tea? - Cassie'],Boop Quoter
%boop,ritvikisalive
['wait what tea? - Cassie'],Boop Quoter
%boop,ritvikisalive
['wait what tea? - Cassie'],Boop Quoter
%boop,ritvikisalive
['wait what tea? - Cassie'],Boop Quoter
%boop,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
[],Boop Quoter
%boop,ritvikisalive
[],Boop Quoter
%boop,ritvikisalive
[],Boop Quoter
%boop,ritvikisalive
[],Boop Quoter
%boop,ritvikisalive
[],Boop Quoter
%boop,memebrane_
[],Boop Quoter
%boop,ritvikisalive
[],Boop Quoter
%boop,memebrane_
[],Boop Quoter
%boop,ritvikisalive
[],Boop Quoter
%boop,ritvikisalive
<function quote at 0x7f20243dd310>,Boop Quoter
%boop,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
%boop,memebrane_
Quotes.txt,Boop Quoter
%boop,ritvikisalive
"GG <@390100716909363201>, you just advanced to level 1!",MEE6
hi,Boop Quoter
%boop,memebrane_
[],Boop Quoter
%boop,ritvikisalive
%boop,_muffinhead
hi,Boop Quoter
%boop,ritvikisalive
%boop,_muffinhead
hello,Boop Quoter
%boop,ritvikisalive
hello,Boop Quoter
%boop,ritvikisalive
hello,Boop Quoter
%boop,memebrane_
hello,Boop Quoter
%boop,ritvikisalive
%boop,ritvikisalive
%boop,memebrane_
https://replit.com/@BoopBoters/Discord-Bot#main.py,_muffinhead
<@390100716909363201>,ritvikisalive
<@390100716909363201>,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
%boop,ritvikisalive
Go confidently in the direction of your dreams. Live the life you've imagined. - Arnold Schwarzenegger,Boop Quoter
%boop,ritvikisalive
%boop,_muffinhead
%boop,ritvikisalive
https://replit.com/join/hjcjbfyadw-boopboters,ritvikisalive
Night is a more quiet time to work. It aids thought. - Alexander Graham Bell,Boop Quoter
_quote,ritvikisalive
,ritvikisalive
Coding Replit: https://replit.com/join/osrnbfdijk-boopboters,ritvikisalive
