,content,author
47,“Look at me im balling!!!” - Cass,braindead
48,“Wait… wait youre not??? AHMED???” - Lance,braindead
49,“The rOck tho!!! IM DIGGING THE ROCK 😩😩” - Cass,braindead
50,“Can I pick Shyam again?” - Taejus,MuffinHead
51,"""uwu"" - Ritvik",hekker
52,"""She said she was 12"" - Ritvik",hekker
53,“I’m a minute” - Akhil,Ritvikisalive
54,i hate u,NitroNith
55,"""THIS ONES FOR U
SLAYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY"" - Nitanth",WaltDisini
56,“My cardio for the day” - Mathew,Ritvikisalive
57,"""I love cheese""- Ameera",Ritvikisalive
58,*Sees Zaid also turns into a child at the same time* - Mathew,Ritvikisalive
59,“Marza” - Nitanth,Ritvikisalive
60,"“Poker? 💀 “ - Cass
“Yeah poker 💀 “ - Nat",Brianfr
61,"""i teached someone!!!"" - nitanth",braindead
62,"""Omg yass sis slay"" - Nat",Briannafr
63,“I can hear the soulmateyness” - Karthik,braindead
64,"""Say Ass again""-Ahmed",NitroNith
65,"""AASS""-Ameera",NitroNith
66,"""Say ass""-Ahmed",NitroNith
67,"""slay"" - Cass
""no"" - Nat",Briannafr
68,"""In due time"" - Cass & Nat",Briannafr
69,“Do you have a toilet” -Akhil,hekker
70,"""yea i diffused the situation cause i had the communication with her""-Nitanth",NitroNith
71,"""He has a new sister"" - Cassie",Ritvikisalive
72,"""youuu...rrrr mooootherrrrr...... yOurrrr mOtHHheeerrrrr... *sings*"" - Cas",braindead
73,"""He probably got a call from his girlfriend"" - Ameera",Ritvikisalive
74,"""Curtain bangs... if this gives me two curtains banging i swear to god"" - Mathew",Ritvikisalive
75,"""Sometimes i act drunk"" - Mathew",Ritvikisalive
76,"""sometimes im *funny*"" - mathew",braindead
77,"""i dont have ego 👀 "" - mathew",braindead
78,"""I forgot pizza was pizza"" - Karthik",MuffinHead
79,"""oh nah to the nurse. im bleeding"" - nitanth",WaltDisini
80,"""OH THATS WHY MY ARMS BEEN HURTING THE WHOLE OF TODAY"" -Karthik",hekker
81,"""My entire head was blurry"" - Mathew",MuffinHead
82,"""Its a cannibal i?????"" - Ritvik",Ritvikisalive
83,"""NoI-"" - Ritvik",MuffinHead
84,"""is it sad that when i said coaster rack i thought of Costa Rica"" - Karthik",Ritvikisalive
85,"""What does a coaster rack have to do with math"" - Ritvik",Ritvikisalive
86,“I never said that fr” - Nathaniel,Ritvikisalive
87,"""Slay"" - Nathaniel",Briannafr
88,“I used to think Australia was in Germany” - Karthik,Ritvikisalive
89,“Deez nuts are freezing”- Winston,NitroNith
90,“Deez nuts daddyyyy”- Winston,NitroNith
91,"""Zaid do you love me"" - Ameera ""No"" - Zaid *Trys again 20 times then he finally says yes*",Ritvikisalive
92,"""You should really get that checked out"" - Ritvik ""Its fine she dies in the end anyways"" - Ameera",Ritvikisalive
93,"""Way to kill a guy ameera"" - RItvik ""I know right so fun"" - Ameera",Ritvikisalive
94,"“Kartickk, Kat think, Karthicc, Karthick, Karthilc *one eternity later* KARTHIK there” - Akhil",MuffinHead
95,"“He’s definitely not Indian, he’s definitely Chinese!” -Arshia",hekker
96,“What’re you doing to a 2-mark question you already lost 3????” - Sap,MuffinHead
97,"""There's a national slay day"" - ritvik
 *internally screams* - me",Briannafr
98,"""Canva much"" - Karthik ""I said CANBERRA not canva"" - Ritvik",Ritvikisalive
99,"""CBS Canberra bradcasting servvices"" - Ritvik",Ritvikisalive
100,"""Hope you love your parents wait i was ment to say presents"" - Cassie",Ritvikisalive
101,"""Why is this from childhood trauma recovery????"" - Karthik",Ritvikisalive
102,"""Are you annoyed?"" - Ameera *Talking to a 2 yr old*",Ritvikisalive
103,"“What should i draw- WAIT A FROG, a frog with a skateboard?? OMG WAIT THATS .. ME!!!” - Cas",braindead
104,"“POV: when your best friend can’t take compliments” - Ameera, “nO i CAN!! I CAN!!” - Cassie, “Okay take this then- your eyes are gorgeous” - Ameera, “nOOO” - Cassie",braindead
105,"""Audiation"" - Bhrugu",MuffinHead
106,"""How do you increase the population?"" - Econ teacher ""Reproduce"" - random guy in class",MuffinHead
107,"“Cassie, when i see you- *happy tears*” - Ameera, “Nooooo stfu” - Cassie",braindead
108,"""Stop scratching Texas"" - Ritvik",Ritvikisalive
109,*scratches head* - Karthik,Ritvikisalive
110,"""You have a brain the size of Texas"" - Ritvik",Ritvikisalive
111,"""Not lord-like... what"" - Ritvik",MuffinHead
112,"""I almost did an ameera and fell of my chair"" - Karthik",Ritvikisalive
113,"""Broooo uGghh who needs a boyfriend when they have a best friend 🙄🙄🙄"" - Ameera",Briannafr
114,"""Shameera"" - Ritvik",Ritvikisalive
115,"""Monstors InCoRpOrAtEd"" - Mathew",Ritvikisalive
116,"""MAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA UWUUUUUUUUUUUU"" - Cassie",Ritvikisalive
117,"""UwU uWu UwU"" - Ameera",Ritvikisalive
118,*bro zones phone* - Karthik,braindead
119,“Did you Patel your math today” - Ameera and Taejus,Ritvikisalive
120,“You guys are dumb this is you fault” - Cassie,Ritvikisalive
121,"""I went out with connor"" - Nitanth",Ritvikisalive
122,,WaltDisini
123,"""at least you have wet eyes. your eyes get wet for you"" - cassie",WaltDisini
124,“Smth smth smth smth smth fire emoji crying emoji laughing emoji” - Siri,Ritvikisalive
125,Successfully saved!,Boop Quoter
126,"""Alt-F- you"" - Ameera",Briannafr
127,"""suspicious metal stick"" - Akhil",Ritvikisalive
128,"""treue"" - Akhil",Ritvikisalive
129,"""did i just search up if shakespear was an alcoholic yes"" - Karthik *Random sheesh orchestra joins the call*",Ritvikisalive
130,"""Wouldnt it be weird if we gave birth with our mouths"" - Ameera",Ritvikisalive
131,"""I mAdE bRoWnIeS"" - Ameera",Ritvikisalive
132,"""Explain to me how 19 + 10 = 10"" - Karthik",Ritvikisalive
133,"""say hi"" - Ameera ""Hi"" - Zaid ""Not ameera forcing her brother to say hi"" - Ritvik",Ritvikisalive
134,"""whats 9 + 10?"" - Ritvik ""20, 9, 29, 2019"" - Karthik",Ritvikisalive
135,"""People are weird am i right"" - Ritvik ""I just ate a croissant"" - Karthik",Ritvikisalive
136,"""fine ill use $2 to buy chocolate that better?"" - Cassie",Ritvikisalive
137,"""Zoned out now??""-Nitanth ""Hold on i am watching shoes being painted""-Ameera",NitroNith
138,"“A part of Turkey is in europe 🙄” - nitanth, “yeah yeah thats totally what you meant at first” - ameera “I COOKED EGGS TODAY” - nitanth",braindead
139,"""Ameera?""-Nitanth ""Sorry hold on i am quoting you again""-Ameera",NitroNith
140,"“Yo what does the jordan flag look like?” - Ameera, “what like the shoes??” - Nitanth",braindead
141,"""Wait Cassie genuine question are you straight"" ""like are you actually?"" - Ameera",Briannafr
142,“Askeed” - Akhil,Ritvikisalive
143,"“NO NO NO NO NO” - Cassie. ""Hello darlings"" - Cassies mother",Ritvikisalive
144,"""We are seriously not ok"" - Ameera",Ritvikisalive
145,“Nothing” - Ameera and Cassie X100,Ritvikisalive
146,Successfully saved!,Boop Quoter
147,!save,Ritvikisalive
148,“Ill sleep with her later” - Ameera,Ritvikisalive
149,"""I will murder that pain of yours soon old sport"" - Nitanth",NitroNith
150,"""murder thing"" *trying to say murderer* - nitanth",braindead
151,"""Shoe boxs"" - Ritvik",hekker
152,"""Throw him in court"" - Ritvik & Karthik",MuffinHead
153,"""WhOs ZaID?"" - Nitanth",Ritvikisalive
154,"""Oh shit ya ur right"" - Ameera",Ritvikisalive
155,"""What does cookies have to do with dairy?"" - Ameera",Ritvikisalive
156,"""What you do?"" - Ameera ""COOKIES"" - Cassie",Ritvikisalive
157,"""Note this down ... Blah blah blah blah"" - Ameera",Ritvikisalive
158,“Sorry i forgot that you dont sLaY as much as i do” *continues to slay* - Cassoi,braindead
159,"""Hey Disini?"" - Ritvik ""Bye"" - Disini",MuffinHead
160,"""I broke my back"" - Ameera ""I found it *Talking bout smth else*"" - Karthik ""You found my back???????????"" - Ameera",Ritvikisalive
161,"""Have i not?"" - Karthik ""IDK thats why i was asking u"" - Ameera",Ritvikisalive
162,"*Laughs* "" Why'd you quote me"" - Ameera",Ritvikisalive
163,"""Thats my dads birthday how do you know it. wait my dads birthday was a month ago"" - Ameera",Ritvikisalive
164,“Why autocucumber” - Akhil,Ritvikisalive
165,“Why’d you quote me quoting a quote. And you haven’t even quoted me in the quote of me quoting the quote. Quote much” - Karthik,Ritvikisalive
166,"“ ""Shushing in progress
Please do not turn off your computer"" - Karthik” - Karthik",Ritvikisalive
167,“Oh for the love of food” - Karthik,Ritvikisalive
168,“And u said you were out of grades” - Karthik,Ritvikisalive
169,“Who so many shoes wait when did saris get an emoji” - Ritvik,hekker
170,“Karma. Is a birch. No not a birch. A BITCH” - Akhil,Ritvikisalive
171,“13 apostals” - Ritvik,MuffinHead
172,“No you failed on the methods exam you got A- on ur blood test” - Ritvik,MuffinHead
173,“Deder” - Ritvik,MuffinHead
174,"""southest part"" - Nitanth",Ritvikisalive
175,“No jeans for you then” - Ameera,Ritvikisalive
176,"“Look at the golden girl saying that” - Ameera *talking to cassie* ""Why thank you"" - Mathew",Ritvikisalive
177,“Your too short for the camera… Hmmmm what should I do” *lifts zaid* - Ameera,Ritvikisalive
178,*shushes everyone* “ I’m In ThE bAtHrOoM” - Ameera,Ritvikisalive
179,"""How'd you didn't it"" - Cassie",WaltDisini
180,"""Poofed like poof poof"" - Karthik",Ritvikisalive
181,"""May we re-acquaint ourselves with the ancient art of socialising?"" -Ritvik",MuffinHead
182,"""buh-boop"" - Disha",Ritvikisalive
183,ritty my witty - Ahmed,Memebrane
184,"""What am i seeing"" - Joy",Ritvikisalive
185,"""young one (who's older than me)"" - Karthik",Ritvikisalive
186,"""Your laughing at the quote?"" - Ritvik ""why would i be laughing at a crow"" - Karthik",Ritvikisalive
187,"""Hello good sir"" - Ritvik ""DiD i JusT hEaR sOdA"" - Karthik",Ritvikisalive
188,"""Oh god now im talking about you like you're a sieve"" - Ameera",Briannafr
189,“I have nothing to satisfy myself with” - Mathew,Ritvikisalive
190,“Let’s live in the past” - Ahmed,Ritvikisalive
191,*Karthik leaves* “Hi Karthik” - Ameera,Ritvikisalive
192,“Oh I heard the Turkey” - Ameera,Ritvikisalive
193,"“I have never used any male products” - Nitanth ""it lasts up to 80 minutes on one full charge"" - Mathew",Ritvikisalive
194,“Send me a video of u trimming your moustache” - Nitanth,Ritvikisalive
195,“This is wore then if my relatives got into a car crash” - Ameera,Ritvikisalive
196,"""Look how perfect that tip is"" - Ameera",WaltDisini
197,“Is iT hIs NosE????” - Ameera,Ritvikisalive
198,“What” - Everyone,Ritvikisalive
199,“Cassie shut up ur irrelevant now” - Ameera,Ritvikisalive
200,“I don’t want ANY power” - Nitanth,Ritvikisalive
201,"“You know who’s hot?” - Ameera. ""Mr Wei-"" - Ameera ""You"" - Karthik",Ritvikisalive
202,“Do you remember when you used to get high” - Ameera,Ritvikisalive
203,“She’s alive she’s just not alive alive” - Karthik,Ritvikisalive
204,"""Oh wait give me a hug first"" - Ameera ""Go ask your other brother"" - Shahmeer",MuffinHead
205,“I googled up how to make a person calm down” - Nitanth,Ritvikisalive
206,“Your still here?????” - Ritvik,Ritvikisalive
207,*which cakles* - Ameera,Ritvikisalive
208,"""i need a puke bucket of tears"" - Ameera",Ritvikisalive
209,*out of no where* “ AAAAAHHHHHHHHHHHHH” - Ameera,Ritvikisalive
210,"""Stop eating your mouse"" - Ameera",MuffinHead
211,"“U remind me of the 20 letters of the alphabet. Oh shoot I think I am forgetting some, wait how could I forget the letters “U” “R” “A” “Q” “T”. Hold up I got 25 letters, oh yea nvm you can get that “D” later;)”- Nitanth",NitroNith
212,"""On person person"" - Karthik",MuffinHead
213,“Henl9” - Cassie,Ritvikisalive
214,"""karthik.exe has found and downloaded package.random from update 2022.21.5"" - Ritvik",Ritvikisalive
215,“Why do you seem so busy I’m proposing to u” - Disha,Ritvikisalive
216,"""I attempted to measure temperature in grams"" - Karthik",Ritvikisalive
217,"""I can see little green things"" - Karthik",Ritvikisalive
218,“I forgot about Sahib” - Nitanth,braindead
219,"""if anything, if it looks better you gotta be more cautious"" - Superwog",Gentleman
220,"""Idk you tell me"" - Karthik ""Is that not what i just  asked you?"" - Ritvik ""Yes ... no ... yes.. wait no"" - Karthik",Ritvikisalive
221,"""How did i get numbers from... Ok"" - Karthik",Ritvikisalive
222,"""Oh crap its negative"" - Karthik",Ritvikisalive
223,"""Hows life"" - Nitanth ""Good until you joined"" - Ameera",Ritvikisalive
224,"""Guess im not as bad as i thought"" - Ameera",Ritvikisalive
225,"""Thats probably the first compliment i've ever given you' - Ameera",Ritvikisalive
226,“Ameera’s my antidepressant” - Cassie,braindead
227,*laughs so hard that ms fernando prolly considered calling the psych ward*,braindead
228,“Ur dumb- wAit I MEANT TO SAY ITS OKAY” - Cassie,braindead
229,“ahmed got beaten up by old people for not being able to parkour” - Nitanth,Ritvikisalive
230,“Depression can go die” - Ahmed,braindead
231,“Like and subscribe” - Ameera,Ritvikisalive
232,“No you Werner” - Ritvik,MuffinHead
233,“Whatever floats your hot” - Karthik,Ritvikisalive
234,“I am sexually harassing her bag” - Grace,Ritvikisalive
235,Successfully saved!,Boop Quoter
236,"""They like: HELLO MOTHERFUCKER"" - Ritvik",MuffinHead
237,"""I'll make you support it"" - Karthik",Ritvikisalive
238,"""karthik.exe has detected traces of disini_frog_virus.exe this file can not be deleted"" - Ritvik",Ritvikisalive
239,“I’m to short for this” - Nandini,Ritvikisalive
240,"""RAT"" - Ameera",Ritvikisalive
241,"""Hungy"" - Ameera",Ritvikisalive
242,"""IILLLLLLLLLLLLLLLLLLLLLLLYY"" - Ameera",Ritvikisalive
243,"*shows picture of anime Donald trump* ""why does he look hot???"" - Karthik",Briannafr
244,"""Mathew why are you so irrelevant???"" - Ameera",Briannafr
245,"""Whod u leave on READ"" - Nitanth",Ritvikisalive
246,"""I wanna see myself with abs at least once"" - Mathew",Briannafr
247,“We need a logic 101 course” - Karthik,Ritvikisalive
248,"""Oh my god red sticks"" - Karthik ""Redsticks?"" - Ritvik ""Breadsticks not redsticks"" - Karthik",Ritvikisalive
249,"""My brain is just fried fried"" - Karthik",Ritvikisalive
250,"""Yes, theres employers and employees so then theres joker and jokee"" -Ritvik",Ritvikisalive
251,"""Jokee?"" - Ahmed",Ritvikisalive
252,"""Jokee"" - Ritvik",Ritvikisalive
253,“Chris Evans?” - Ritvik,Ritvikisalive
254,“The new vice principals name is Chris that’s all I know” - Mr Chen Ke,Ritvikisalive
255,"""The name gets longer, Just like Sri Lankan last names"" - Mrs Gopal",Ritvikisalive
256,"""Top 10 things ameera said on her wedding night"" - Mathew x100",Ritvikisalive
257,“Whats bubble shooter” - Ritvik,braindead
258,"""Thankyo7u"" - Cassie",Ritvikisalive
259,"""I'm high on every resource this godforsaken planet has "" - Karthik",Ritvikisalive
260,"""Idk bc I'm high on cheese"" - Karthik",Ritvikisalive
261,“Not my favourite position” - Nitanth,braindead
262,“No encanto on my high ass gc bitch *literally one text at a time*” - Ritvik “Karthik please quote that” - Ritvik,MuffinHead
263,"""Thats why i only use OnlyFans"" - Nitanth",Memebrane
264,“I have a chain of emoji's spewing on themselves” - Taejus,MuffinHead
265,"""Bring your faces, your body"" - Ameera",Ritvikisalive
266,"""Our group is disfunctional as hell"" - Noel",Ritvikisalive
267,"""NO I KNOW YOU IM DUMB"" - Karthik",Ritvikisalive
268,"""YOUR HOUSE IS CALLED WOOD???, WHATS UR HOUSE HUH TIMBER? "" - Mathew",Ritvikisalive
269,"""stop making my 2 look like lavender"" - Karthik",Ritvikisalive
270,“GUYS IM SAND” - Ameera,Ritvikisalive
271,“Is he like fRuIt seXuAl or something??” - Cassie,braindead
272,"""HAHAHAHA SHE SAID SHE WAS BEING HELD HOSTAGE"" - Cassie",Ritvikisalive
273,“Stop looking at me- wHaT dId yOu wRiTe” - Cassie,braindead
274,“Yea i dont give my hackers a lot of info” - Cassie,braindead
275,"“You dumb, blinded mammals of Americas” - Ritvik",MuffinHead
276,“5.30 pm at night” - Mathew,braindead
277,“Yeah nitanth I can deliver jokes as well as your mum can” - Mathew,braindead
278,"""මම ඔයාට හොගාක් ආදරෙයි <@505753933885472778> "" -Ameera",WaltDisini
279,"""Stares into space wondering how he ended up here realises its the middle of the day freaks out cause hes staring at the night sky
"" - Ritvik",Ritvikisalive
280,"""@Cassidy look at insta"" - Cassie",Ritvikisalive
281,“Butter can burn?!??” - Cassie,braindead
282,*nitanth talking* “no shut the fuck up” - Ritvik,Ritvikisalive
283,“Make sure to not leave your toys in his bedroom” - Nitanth,Ritvikisalive
284,"Nitanth version

Karthik - Dr Strange
Ahmed - IronMan
Mathew - Captain Americano
Ameera - Captain Marvel
Nitanth - Spider Man
Ritvik - Hulk
Taejus - Thor
Cassie  - Gamora
Disini - Rocket
Nandini - Mantis
Zoe - Shuri
Joy - Scarlet Witch
Disha -  Black Widow",Ritvikisalive
285,“Because you wanna be an alpha male” - Ritvik,braindead
286,“You know why I would end up carrying Ameera?“ - Nitanth,braindead
287,"Shameer version

Idk what u want me to write i dont talk to the kid",Ritvikisalive
288,"Ameera version

Karthik - Steven Strange (Dr Strange)
Ahmed - Tony Stark (Iron Man)
Mathew - Steve Rogers (Captain America)
Ameera - NatashaRominoff (Black Widdow) 
nitanth - Peter Parker (Spider Man)
Ritvik - Bruce Banner (Hulk)
Taejus - Bucky Barnes (Winter soldiers)
Cassie - Carol Danvers (Captain Marvel)
Disini - Rocket
Nandini - Mantis(antena lady from guardians of the galaxy)
Zoe - Peper Pots (Iron Lady)
Joy - Gamora (Gamora)
Disha - Nebula (Nebula)",Ritvikisalive
289,"""Karthik stop apologising whilst ur dying"" - Ritvik",Ritvikisalive
290,"""yes"" - Ritvik",Ritvikisalive
291,"""IDK"" - Ameera",Ritvikisalive
292,"""Is 7 less than 9?"" - Karthik",Ritvikisalive
293,We went on a random ass thing using this,Ritvikisalive
294,,Ritvikisalive
295,Back story,Ritvikisalive
296,"""Noice ... Noice ... Noice ... Noice ... NOICE ... *karthik and ritvik laughing*"" - Ritvik",Ritvikisalive
297,"""NO no Lower Cape"" - Ritvik",Ritvikisalive
298,"""Karthik - Steve Rogers(Captain America)
Ahmed - Peter Quil(Star Lord)
Mathew - Bucky Barnes(Winter Soldier)
Ameera - Natasha Rominoff (Black Widow)
nitanth - SpiderMan (Peter Parker)
Ritvik - Thor (THOR)
Taejus - Iron Man (Tony Stark)
Cassie - Scarlet Witch (Wanda Maximoff)
Disini - Rocket
Nandini - Wong
Zoe - Steven Strange (Dr Strange)
Joy - Kate Bishop (Hawklady)
Disha - Clint Barton (Hawkeye)"" - Ritvik and Karthik",Ritvikisalive
299,"""I said he was bruce i never said if he was banner, HES NOW A SHARK"" - Ritvik",Ritvikisalive
300,"""little girl in the middle of the tornado can you stop screaming"" - Karthik",Ritvikisalive
301,"""All I see is a dumb ding dong named Taejus"" - Karthik",WaltDisini
302,“You two old married couple” - Ameera *talking to nitanth and noel*,Ritvikisalive
303,,Ritvikisalive
304,"""then blopenshpagel it is"" - Ritvik",Ritvikisalive
305,"""2022"" - Karthik ""ArE yOu SuRe"" - Ameera",Ritvikisalive
306,"""Wait what year is it?"" - Ameera",Ritvikisalive
307,“Cassie we can’t have you go to school like that” - Cassies father,Ritvikisalive
308,"""im still here ya know"" - Karthik",Ritvikisalive
309,“Four????” - Cassie,Ritvikisalive
310,"""They should pay me for being considerate"" - Noel",Ritvikisalive
311,"""Big words for a small brain"" - Cassie",Ritvikisalive
312,“My name is Ritvik not mother fucking Shazam” - Ritvik,Ritvikisalive
313,"""I can scan you any day baby"" - Nitanth",Ritvikisalive
314,“Its a black stick” - Mathew,braindead
315,“I’ve pleased heaps ;)” - Mathew,braindead
316,"""im tight"" - Mathew",braindead
317,"""We are busy people, we have a lot to talk about ""  - Ameera",Ritvikisalive
318,"""HOW LONG WAS I ASLEEP FOR"" - Ameera ""Its 8:51 so exactly a minute"" - Noel",Ritvikisalive
319,"""you dont care"" - Ameera",Ritvikisalive
320,"""you've got ptmd bro"" ""post traumatic math disorder"" - Hassan",Briannafr
321,"""I cant control it, it just slips out"" - Cassie",Memebrane
322,"""Be scared with me"" - Karthik",Ritvikisalive
323,"""I am trying to be a good student and do math horribly' - Cassie",Ritvikisalive
324,"""wheres Cassie?"" - Zaid ""HI"" - Cassie ""CASSSSSSSIIIIIIIEEEEEEE"" - Zaid",Ritvikisalive
325,"""I'm tacoing to you"" - Karthik",Ritvikisalive
326,"“cuz thats the only ppl he can get, menopausal women with midlife crisis” - Ahmed",braindead
327,"""See you should have trusted my judgement, hes a good boy"" - Ameera",Memebrane
328,“Guys stop shitting” - Ameera,Ritvikisalive
329,“wait that means i identify as a hen” - Ameera,Ritvikisalive
330,“I IDENTIFY AS FEMALE THEREFORE HEN” - Ameera,Ritvikisalive
331,“And my mum didnt even question the rooster sounds thati made” - Ameera,Ritvikisalive
332,“i forced a guy to put toothpaste in his hair once” - Timin,Ritvikisalive
333,“Who’s Merza” - Joy *everyone facepalms*,Ritvikisalive
334,,braindead
335,"""the second ameera is with sampson, im gonna slap his ass"" -Nitanth",WaltDisini
336,"""they were playing soccer ball"" - Ameera",Gentleman
337,“My sister~ she’s on top of you” - Nitanth,braindead
338,"""My ears are *ringadingadingdonging*"" - Ameera",MuffinHead
339,“Now leave” *growl* *rawr?* - Roro,braindead
340,"“I will, I will. DONT TELL NITANTH tho” -Ameera",Aarohi
341,“I told her to enjoy you” -Ahmed,Aarohi
342,“Are you cumming tmr?” -Ameeraaaaaaa,Aarohi
343,"""I swallowed my water wrong"" - Aarohi",braindead
344,"“Yeah so you dont understand why im so interested in this ishita story- do you?” - Mathew, “wAiT dO yOu LiKe sTutI?!?” - Cassie",braindead
345,"*my brain* ""What testosterone???????"" - Ritvik",Ritvikisalive
346,"""wait what tea?"" - Cassie",Ritvikisalive
347,"""Leave my crushes and idk take joy"" - Nitanth",Ritvikisalive
348,"""I got paired up with Stuti"" - Ahmed",Ritvikisalive
349,"""No theres a hair in my fruit yogurt"" - Karthik",Ritvikisalive
350,"""I have ice cream on a stick, ice cream in a bucket I HAVE ALL THE ICE CREAM IN THE WORLD"" - Ahmed",Ritvikisalive
351,“Lamo” *tries to say lmao*,braindead
352,*french accent.?*,braindead
353,“Ameera you’re a sexy hen~ so you attract a lot of cocks ;)” - Aarohi,braindead
354,"""HaKuNa tHe HiGh MeN"" -Ritvik",MuffinHead
355,"""IT'S THE COMB-BUTTERFLY KNIFE BUT IT DOESN'T HAVE A COMB ANYMORE... IT HAS SOMETHING THAT LOOKS LIKE A PENCIL HOLDER"" - Ritvik",MuffinHead
356,"""do doo doo D- FUCK YOU"" - Ritvik",MuffinHead
357,*Weird tribal noises ensue* - Ritvik,MuffinHead
358,"""*presses enter* uhhh - APPLE PEN"" - Ritvik",MuffinHead
359,"""Since when did u multiply 20 by 10 to get 2 hours... WAIT thats not 2 hours, When did u multiply 20 by 6"" - Karthik",Ritvikisalive
360,"""And then there's sPiDeR-kNiFe"" - Ritvik",MuffinHead
361,"""*while dying* WHY DID I READ KNIFE AS TABLE"" - Ritvik",MuffinHead
362,"""*To the tune of spiderman* Transformers, transformers, it's the transforming knife"" - Ritvik",MuffinHead
363,"""dO yOu LiKe mY k-NiFy aDdIcTiOn"" - Ritvik",MuffinHead
364,"""WHY DOES THIS BUTTERFLY KNIFE HAVE A FRICKING COMB IN THE MIDDLE OF IT WAIT I DON'T THINK THAT'S A KNIFE"" - Ritvik",MuffinHead
365,*coughs and immediately dies laughing* - Ritvik,MuffinHead
366,"""i'd be concerned if it wasnt a knife"" - Ritvik",Ritvikisalive
367,"""*whispers* Do you like the knife, it's a knife"" - Ritvik",MuffinHead
368,"""LOOK AT THE PICTURE OF THIS KNIFE IT'S SO POINTY"" - Ritvik",MuffinHead
369,"""Do you wanna see a picture of the knife I'm talking about???"" - Ritvik *with genuine interest in the topic of knives*",MuffinHead
370,"*stops laughing* ""OK"" *starts laughing again* - Karthik",Ritvikisalive
371,"""IT'S VERY POINTY"" - Ritvik",MuffinHead
372,"""OOOH THIS KNIFE LOOKS COOL"" - Ritvik",MuffinHead
373,"*awkward silence* ""I FOUND THE JAMES BOND CAR"" - Karthik",Ritvikisalive
